Price,Age,KM,Fuel_Type,HP,Metallic,Automatic,CC,Doors,Quarterly_Tax,Weight
13500,23,46986,Diesel,90,Yes,N,2000,3,210,1165
13750,23,72937,Diesel,90,Yes,N,2000,3,210,1165
13950,24,41711,Diesel,90,Yes,N,2000,3,210,1165
14950,,,,,,,,,,
13750,30,38500,Diesel,90,No,N,2000,3,210,1170
12950,32,61000,Diesel,90,No,N,2000,3,210,1170
16900,27,94612,Diesel,90,Yes,N,2000,3,210,1245
18600,30,75889,Diesel,90,Yes,N,2000,3,210,1245
21500,27,19700,Petrol,192,No,N,1800,3,100,1185
12950,23,71138,Diesel,69,No,N,1900,3,185,1105
20950,25,31461,Petrol,192,No,N,1800,3,100,1185
19950,22,43610,Petrol,192,No,N,1800,3,100,1185
19600,25,32189,Petrol,192,No,N,1800,3,100,1185
21500,31,23000,Petrol,192,Yes,N,1800,3,100,1185
,32,34131,Petrol,192,Yes,N,1800,3,100,1185
22000,28,18739,Petrol,192,No,N,1800,3,100,1185
22750,30,34000,Petrol,192,Yes,N,1800,3,100,1185
17950,,,,,,,,,,
16750,24,25563,Petrol,110,No,N,1600,3,19,1065
16950,30,64359,Petrol,110,Yes,N,1600,3,85,1105
15950,30,67660,Petrol,110,Yes,N,1600,3,85,1105
16950,29,43905,Petrol,110,No,Y,1600,3,100,1170
15950,28,56349,Petrol,110,Yes,N,1600,3,85,1120
16950,,32220,Petrol,110,Yes,N,1600,3,85,1120
16250,29,25813,Petrol,110,Yes,N,1600,3,85,1120
15950,25,28450,Petrol,110,Yes,N,,3,85,1120
17495,27,34545,?,110,Yes,N,1600,3,85,1120
15750,29,41415,Petrol,110,Yes,N,1600,3,85,1120
16950,28,44142,Petrol,110,No,N,1600,3,,1120
17950,30,11090,Petrol,110,Yes,N,1600,3,85,1120
12950,29,9750,Petrol,97,Yes,N,1400,3,19,1100
15750,22,35199,Petrol,97,Yes,N,1400,3,85,1100
15950,27,29510,Petrol,97,Yes,N,1400,,85,1100
14950,,32692,Petrol,97,Yes,N,1400,3,85,1100
15500,22,41000,Petrol,97,Yes,N,1400,3,85,1100
15750,26,43000,Petrol,97,No,N,1400,3,85,1100
15950,25,25000,Petrol,97,No,N,1400,3,85,1100
,23,10000,Petrol,97,Yes,N,1400,3,85,1100
15750,32,25329,Petrol,97,Yes,N,1400,3,85,1100
14750,27,27500,Petrol,97,No,N,1400,3,85,1100
13950,22,49059,Petrol,97,No,N,1400,3,85,1100
16750,27,44068,Petrol,97,Yes,N,1400,3,85,1100
13950,22,46961,Petrol,97,No,N,1400,3,85,1100
16950,27,110404,Diesel,90,No,N,2000,5,234,1255
16950,22,100250,Diesel,,No,N,2000,5,234,1255
19000,23,84000,Diesel,90,No,N,2000,5,234,
17950,27,79375,Diesel,90,Yes,N,2000,5,234,
15800,22,75048,Petrol,97,Yes,N,1400,5,85,1110
17950,22,72215,Diesel,90,Yes,N,2000,5,234,
21950,31,64982,Petrol,192,Yes,N,1800,5,100,1195
17950,22,62636,Diesel,90,Yes,N,2000,5,234,1255
15750,30,57086,Petrol,97,Yes,N,1400,5,85,1110
20500,26,56000,Petrol,110,Yes,Y,1600,5,100,1180
21950,27,49866,Petrol,192,,N,1800,5,100,1195
15500,25,49163,Petrol,110,No,Y,1600,5,100,1165
13250,32,45725,Petrol,,Yes,N,1600,5,85,1075
15250,28,43210,Petrol,97,No,N,1400,5,85,1110
15250,26,43000,Petrol,97,No,N,1400,5,85,1110
18950,23,39704,Petrol,110,Yes,Y,1600,5,100,1180
15999,30,38950,Petrol,110,Yes,N,1600,5,85,1130
14950,22,37400,Petrol,97,Yes,N,1400,5,85,1110
16500,27,37177,Petrol,110,No,N,1600,5,85,1130
18750,31,36544,Petrol,110,Yes,N,1600,5,85,1130
17950,30,33511,Petrol,110,Yes,N,1600,5,85,1130
17950,27,32809,Petrol,97,Yes,N,1400,5,85,1110
16950,26,32181,Petrol,110,Yes,N,1600,5,19,1075
18950,28,30993,Petrol,110,Yes,N,1600,5,85,1130
14950,22,30400,Petrol,97,Yes,N,1400,5,85,1110
22250,22,30000,Diesel,110,Yes,N,2000,5,234,1275
15950,25,29719,Petrol,97,Yes,N,1400,5,85,1110
15950,28,29206,Petrol,97,Yes,N,1400,5,85,1110
12995,32,29198,Petrol,97,Yes,N,1400,5,85,
18950,28,28817,Petrol,110,Yes,N,1598,5,85,1130
15750,23,28227,Petrol,97,Yes,N,1400,5,85,1110
19950,28,28000,Petrol,110,No,N,1600,5,,1130
16950,23,28000,Petrol,110,Yes,N,1600,5,85,1115
18750,31,,Petrol,110,Yes,N,1600,5,85,1130
18450,27,23489,Petrol,110,No,N,1600,5,85,1115
16895,29,22575,Petrol,110,Yes,N,1600,5,85,1115
14900,30,22000,Petrol,97,Yes,N,1400,5,85,1110
18950,25,20019,Petrol,110,Yes,Y,16000,5,100,1180
17250,29,20000,Petrol,110,Yes,N,1600,5,85,1115
15450,25,17003,Petrol,97,Yes,N,1400,5,85,1110
17950,31,16238,Petrol,110,Yes,Y,1600,5,100,1180
16650,25,15414,Petrol,97,Yes,N,1400,5,85,1110
17450,28,8537,Petrol,110,Yes,N,1600,5,85,1130
14900,30,7000,Petrol,97,Yes,N,,5,85,1100
17950,20,66966,Diesel,90,Yes,N,2000,3,210,1245
15950,19,51884,Petrol,97,Yes,N,1400,3,85,1100
21950,19,,Diesel,110,Yes,N,2000,3,234,1265
16450,20,48110,Petrol,97,Yes,N,1400,3,85,1100
22250,20,37500,Diesel,90,Yes,N,2000,3,234,1260
19950,16,34472,Diesel,90,Yes,N,1995,3,234,1260
,20,33329,Petrol,97,Yes,N,1400,3,85,1100
18900,20,31850,Petrol,110,No,N,1600,3,85,1120
19950,17,30351,Diesel,90,Yes,N,1995,3,234,1260
15950,19,29435,Petrol,97,Yes,N,1400,3,85,1100
15950,19,25948,Petrol,97,Yes,N,1400,3,85,1100
18750,11,24500,Petrol,110,Yes,N,1600,3,85,1120
16950,29,43905,Petrol,110,No,Y,1600,3,100,1170
